Step 96 (126 ms) -- loss_pure: 276.1926, loss_model: 8.9586, loss_noise: 267.2340, loss: 279.0995, learning_rate: 0.0300
Step 97 (123 ms) -- loss_pure: 318.8630, loss_model: 9.0811, loss_noise: 309.7819, loss: 321.8026, learning_rate: 0.0300
Step 98 (112 ms) -- loss_pure: 264.7483, loss_model: 9.2450, loss_noise: 255.5033, loss: 267.7189, learning_rate: 0.0300
Step 99 (120 ms) -- loss_pure: 268.9979, loss_model: 9.5894, loss_noise: 259.4086, loss: 271.9986, learning_rate: 0.0300
Step 100 (118 ms) -- loss_pure: 240.2115, loss_model: 9.5413, loss_noise: 230.6702, loss: 243.2417, learning_rate: 0.0300
Step 101 (148 ms) -- loss_pure: 237.7357, loss_model: 9.0432, loss_noise: 228.6924, loss: 240.7944, learning_rate: 0.0300
Step 102 (125 ms) -- loss_pure: 271.2282, loss_model: 8.7139, loss_noise: 262.5144, loss: 274.3143, learning_rate: 0.0300
Step 103 (117 ms) -- loss_pure: 330.3362, loss_model: 9.1679, loss_noise: 321.1683, loss: 333.4482, learning_rate: 0.0300
Step 104 (120 ms) -- loss_pure: 350.8011, loss_model: 9.1662, loss_noise: 341.6349, loss: 353.9376, learning_rate: 0.0300
Step 105 (132 ms) -- loss_pure: 323.6847, loss_model: 9.1213, loss_noise: 314.5634, loss: 326.8441, learning_rate: 0.0300
Step 106 (112 ms) -- loss_pure: 332.6809, loss_model: 9.3872, loss_noise: 323.2937, loss: 335.8622, learning_rate: 0.0300
Step 107 (159 ms) -- loss_pure: 392.3647, loss_model: 9.3556, loss_noise: 383.0091, loss: 395.5666, learning_rate: 0.0300
Step 108 (118 ms) -- loss_pure: 388.3475, loss_model: 9.3101, loss_noise: 379.0374, loss: 391.5689, learning_rate: 0.0300
Step 109 (128 ms) -- loss_pure: 389.8737, loss_model: 9.5313, loss_noise: 380.3424, loss: 393.1133, learning_rate: 0.0300
Step 110 (126 ms) -- loss_pure: 461.1249, loss_model: 9.2496, loss_noise: 451.8753, loss: 464.3816, learning_rate: 0.0300
